シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
TOYO,"TOYO Co., Ltd",7.62,USD,-7.299270072992707,78456,0.676548375330164,269047264.99999994,USD,10.455543358946214,0.7288,USD,300,0,電子テクノロジー,強い買い,22.925757467786838,0.3046515557492766,47.667987072284724,7.031619999999991,8.22575,5.633985500000002
PRSU,"Pursuit Attractions and Hospitality, Inc.",37.19,USD,0.59507708953205,233052,1.2920716657019873,1051854629.3235056,USD,2.9606808212525775,12.5613,USD,2378.0627342671137,0,消費者サービス,強い買い,14.320546471950877,0.6784658140211732,60.729337762151225,35.198,36.11800000000001,33.42305000000005
RDVT,"Red Violet, Inc.",42.61,USD,0.6614694070399272,198284,2.1342133502964784,600299535,USD,55.323292651259415,0.7702,USD,115.6215005599104,0,テクノロジーサービス,強い買い,46.75694989768125,-2.2283407249007467,39.005416538391664,49.54490000000004,43.38974999999992,49.504550000000016
ELDN,"Eledon Pharmaceuticals, Inc.",2.19,USD,-1.3513513513513624,1099183,2.042877677090237,164435484,USD,,-1.2021,USD,78.95004115082214,0,ヘルスケアテクノロジー,強い買い,16.258360327437128,0.04535582715248232,57.08554169528623,1.9022000000000059,2.136,2.601450000000002
INSW,"International Seaways, Inc.",67.47,USD,0.6564224973892253,518797,1.1871298635593643,3332648962.351633,USD,15.36272143540234,4.3918,USD,-57.576986978864795,4.37117708488736,交通・輸送,強い買い,43.415499771036494,3.019874458885404,77.61353220468881,55.1628,61.26449999999998,46.75574999999997
ANNX,"Annexon, Inc.",4.9,USD,-3.9215686274509665,1749101,0.814644857242315,709171909,USD,,-1.408,USD,-35.61934116740512,0,ヘルスケアテクノロジー,強い買い,27.570928788296673,-0.2126985715478309,36.804417388865645,5.554200000000001,5.798999999999998,3.4223000000000035
AKBA,"Akebia Therapeutics, Inc.",1.18,USD,0,2541127,0.5798459544268877,313131863.00000006,USD,,-0.0761,USD,65.51880380607159,0,ヘルスケアテクノロジー,強い買い,24.498693658426653,-0.075835379125611,33.32706846648141,1.4735999999999987,1.3704999999999998,2.5787
AREN,"Arena Group Holdings, Inc.",3.35,USD,1.2084592145015116,38263,0.7530233702337024,159010265.0302115,USD,1.2622932288330382,2.6539,USD,,0,テクノロジーサービス,強い買い,21.375257814679788,-0.19776521374455713,43.039311624728505,3.8725999999999994,3.522000000000001,5.218750000000003
PDSB,PDS Biotechnology Corp.,0.648,USD,-1.4898145332927988,1212272,2.907566370938535,35459409,USD,,-0.8176,USD,29.946020049695832,0,ヘルスケアテクノロジー,強い買い,12.658711774326337,-0.06337678135084246,30.014754156476357,0.8599259999999999,0.7624950000000001,1.0914335000000008
OWLT,"Owlet, Inc. Class A",11.32,USD,0.8912655971479468,226818,1.1451134344769927,312212493.90017825,USD,,-2.6724,USD,-11.890805560207681,0,耐久消費財,強い買い,28.07889297002243,-0.7335209750854368,42.753621912223196,13.5076,11.835500000000001,9.49595
CLNN,Clene Inc,4.635,USD,-2.0084566596194637,75422,1.2869177073611038,54592455,USD,,-3.3924,USD,23.3684971424699,0,ヘルスケアテクノロジー,強い買い,25.101520516154764,-0.2781976366349932,47.80056032536478,5.348199999999995,4.434749999999999,5.662299999999998
PZG,Paramount Gold Nevada Corp,2.25,USD,2.739726027397263,2019094,1.1961472226950045,188579795.54794523,USD,,-0.1915,USD,-51.86360031720858,0,非エネルギー鉱物,強い買い,46.13050555839058,0.20611194772421304,62.76772558354185,1.5602,2.0345000000000004,1.041126455
ARAY,Accuray Incorporated,0.5353,USD,-3.0780372985696207,1378816,1.0710121436671394,63584344.00000001,USD,,-0.2984,USD,-557.2687224669603,0,ヘルスケアテクノロジー,強い買い,52.48049274495368,-0.08914809302448745,29.82314679897449,0.8027540000000001,0.6620199999999998,1.2736860000000014
HIT,"Health In Tech, Inc. Class A",1.19,USD,10.976405856569983,273590,3.4974036964408524,67721486,USD,47.41035856573705,0.0251,USD,-25.29761904761904,0,テクノロジーサービス,強い買い,26.28438285799018,-0.08243326383361782,48.16258937841808,1.330344000000001,1.1421099999999988,1.8158379999999996
CURI,CuriosityStream Inc Class A,3.25,USD,0.6191950464396291,195430,0.463203382145516,189470150,USD,,-0.0951,USD,65.54347826086956,7.38461538461539,消費者サービス,強い買い,30.537331608024914,-0.15259754486987953,39.87694915403277,3.7148000000000043,3.426500000000005,4.560874999999999
WLY,"John Wiley & Sons, Inc. Class A",29.87,USD,-0.10033444816052704,405525,0.7486815340175855,1565628089.994649,USD,15.88322875677975,1.8806,USD,,4.74080267558528,消費者サービス,強い買い,31.570019868654892,-0.44693435619257116,46.69128398950695,30.661599999999993,30.022500000000047,37.259950000000025
IBRX,ImmunityBio Inc,8.7,USD,1.045296167247385,45429099,1.4986651339666444,8569197139,USD,,-0.4205,USD,52.576970790571785,0,ヘルスケアテクノロジー,強い買い,48.93555996302227,0.9814664857382978,73.5881852701497,4.3488999999999995,6.5707499999999985,2.9818999999999964
ASC,Ardmore Shipping Corp.,15.13,USD,1.6801075268817203,602619,0.7258455002370426,614640036.0900538,USD,17.086391869000565,0.8855,USD,-71.05736231410361,2.01612903225806,交通・輸送,強い買い,36.03445008123857,0.7425797589121252,79.37915711686715,12.002799999999981,13.126499999999998,11.386950000000004
IPM,Intelligent Protection Management Corp.,1.68,USD,-0.5917159763313614,10775,0.6779330434946741,15264023.999999998,USD,,,,,0,テクノロジーサービス,強い買い,13.182168266389308,-0.02799234597242295,38.49231441015418,1.7648999999999986,1.7272500000000002,1.9261609999999996
MBOT,Microbot Medical Inc,2.06,USD,-4.186046511627901,1060520,0.2698111011906625,138345580,USD,,-0.4533,USD,43.28787689228075,0,ヘルスケアテクノロジー,強い買い,28.088121657593785,0.0187647915145015,52.699710322749425,2.0665999999999993,1.9354999999999989,2.5831749999999998
AIV,Apartment Investment and Management Company Class A,5.79,USD,-1.5306122448979567,1850771,1.116048220454723,847164229,USD,,-1.0017,USD,42.38799102777937,0,金融,強い買い,12.012674857458357,-0.00906544158799516,44.01755479826074,5.849799999999997,5.865500000000006,7.079049999999998
ANDE,"Andersons, Inc.",65.65,USD,1.2180080172679713,331396,1.029229987539769,2224230637,USD,23.47577328803862,2.7965,USD,-15.788364249578422,1.1957349581112,商業サービス,強い買い,38.40044516464359,2.3469699578330747,59.37016252007821,58.811899999999945,64.75800000000004,45.135849999999984
EEX,"Emerald Holding, Inc.",4.68,USD,-2.9045643153527085,34108,0.9063538840511159,925738466.9377594,USD,216.66666666666663,0.0216,USD,,1.2448132780083,商業サービス,強い買い,17.99835911519795,0.030498971965733368,47.04581239623663,4.644800000000002,4.813499999999999,4.701849999999998
HQI,"HireQuest, Inc.",11.58,USD,5.177111716621257,10660,0.4913914306128564,163278003,USD,23.304487824511973,0.4969,USD,372.7878211227403,2.07253886010363,商業サービス,強い買い,23.994315301631385,0.1333032922539381,61.419988515634834,10.324199999999994,11.057000000000004,9.72427499999996
LNSR,LENSAR Inc,11.69,USD,2.7240773286467372,57575,1.155069163715882,139631735,USD,,-4.3869,USD,-200.88477366255142,0,ヘルスケアテクノロジー,強い買い,29.1839344787327,-0.08279119680009117,43.25140104686177,11.959999999999994,12.235500000000002,12.287175000000001
PRE,Prenetics Global Limited Class A,17.05,USD,-11.658031088082902,529632,1.6298630979252813,286924840,USD,,-4.1132,USD,-11.023537033038217,0,金融,強い買い,20.47913384464217,0.6845170834253267,41.24763269527041,17.55579999999999,19.737749999999984,12.051685999999995
PVLA,"Palvella Therapeutics, Inc.",85.66,USD,4.044698165917646,277408,0.9483350089959319,1013913831,USD,,,,,0,ヘルスケアテクノロジー,強い買い,26.555026677112835,-2.6283645273692997,51.008246135285546,91.60140000000001,81.16349999999996,60.92282499999988
ASNS,"Actelis Networks, Inc.",0.2002,USD,-9.000000000000005,452647,0.5195327353703192,1613289.9999999998,USD,,-8.6284,USD,32.37189033279514,0,電子テクノロジー,強い買い,46.056430823971404,-0.1616334049409463,22.340021650926516,0.6791079999999994,0.36474999999999996,4.151049000000011
SWBI,"Smith & Wesson Brands, Inc.",12.01,USD,0,460479,1.1653241419103078,534369919.99999994,USD,54.0990990990991,0.222,USD,-71.67644807348815,4.32972522897585,電子テクノロジー,強い買い,47.45458020213565,0.35106427357569814,71.38848484194226,10.882199999999996,11.4875,9.533224999999987
JAGX,"Jaguar Health, Inc.",0.609,USD,-4.1699449252557,120469,0.4340993705560929,2275130,USD,,-33.9843,USD,-544.2277070063694,0,ヘルスケアテクノロジー,強い買い,19.282997624128544,-0.08173847150528768,41.10399516101208,0.8972380000000001,0.6474049999999987,2.237549499999975
VUZI,Vuzix Corporation,2.76,USD,-2.4734982332155577,1129007,1.2431044739702255,221149105.00000003,USD,,-0.49,USD,59.684054632219855,0,電子テクノロジー,強い買い,20.232667303959133,-0.0940726588526104,50.13592252052318,3.003100000000004,2.626500000000001,2.7739249999999993
CYCU,"Cycurion, Inc.",1.76,USD,1.7341040462427761,104498,0.7616211398006044,7371209,USD,,-16.4593,USD,-106.94411265480606,0,テクノロジーサービス,強い買い,26.447329661368617,-0.26720116517414705,32.76633414268609,2.5881220467999997,1.9969999999998993,7.296570307549992
SIMO,Silicon Motion Technology Corporation Sponsored ADR,134.88,USD,1.9424079812561355,448755,0.6710710368818028,4583717576,USD,37.1836577162706,3.6274,USD,35.12889286246461,1.47538552787663,電子テクノロジー,強い買い,45.34981405838975,7.048574303303766,63.69144772693461,110.34580000000004,126.60225,87.51890000000002
CSTM,Constellium SE Class A,25.44,USD,-1.4335528864780993,2227736,0.8782483319090332,3505677422.3758235,USD,13.13981715820464,1.9361,USD,522.1401028277636,0,非エネルギー鉱物,強い買い,42.618599494044794,1.0279389926932012,64.42950427673566,21.529,23.977,16.174950000000003
REPX,Riley Exploration Permian Inc,28.3,USD,-0.7017543859649098,228038,0.9187315881416346,621720050.7228072,USD,6.935934513014069,4.0802,USD,-27.5326797385621,5.47368421052632,エネルギー鉱物,強い買い,13.01681322606491,0.25105096719122955,54.42187866922953,27.092800000000043,27.89450000000001,27.03989999999999
ALLT,Allot Ltd.,10.24,USD,0.293829578844264,537798,1.9923609824769384,496154794,USD,497.0873786407767,0.0206,USD,,0,電子テクノロジー,強い買い,10.131576735421847,0.00607702891035089,52.029317373616486,10.048199999999998,10.100000000000001,9.098075000000007
CARL,"Carlsmed, Inc.",12.77,USD,2.0783373301358896,117166,1.5623383203989651,339591458,USD,,-1.0002,USD,-5.762926932431003,0,テクノロジーサービス,強い買い,15.725851631370451,-0.2519739249468689,55.18785168957158,12.631500000000006,12.112499999999997,
OLB,"OLB Group, Inc.",0.8295,USD,-1.6597510373443998,3927714,0.07544040501125256,11143847,USD,,-3.5702,USD,77.33263917106868,0,テクノロジーサービス,強い買い,39.04050043131132,0.04161545505913289,54.481910673938806,0.7087060200000009,0.5988850500000006,1.2369665049999994
FSRL,"First Reliance Bancshares, Inc.",15.25,USD,0,385,0.05358609266914415,123982502.00000001,USD,11.586385047865067,1.3162,USD,83.11074012242628,0,金融,強い買い,44.413811299926465,0.7482709707983624,70.78919475272046,13.349499999999999,14.495499999999996,10.799208499999999
NPB,"Northpointe Bancshares, Inc.",17.97,USD,1.2965050732807242,208258,0.8456906357115853,617532902.3151071,USD,8.57306426220123,2.0961,USD,14.403449405086768,0.56369785794814,金融,強い買い,12.696207606883075,0.05028465105388946,54.8051234740516,17.545599999999993,17.5405,16.20645
PSQH,"PSQ Holdings, Inc.",0.7228,USD,-2.9668411867364757,396815,0.7992892878738621,35927727.350785345,USD,,-0.7057,USD,62.36668088737202,0,小売業,強い買い,14.15436346900675,-0.0833102297208893,36.43155366160345,1.002334,0.8018349999999993,1.7402835000000008
AMPG,"AmpliTech Group, Inc.",2.65,USD,-3.63636363636364,487247,0.7997820836876772,66730445.00000001,USD,,-0.5113,USD,37.19444785652869,0,電子テクノロジー,強い買い,17.718009574845144,-0.1900393107918581,39.183440075106816,3.202899999999999,3.023250000000004,3.083949999999999
LGCY,Legacy Education Inc.,12.72,USD,4.006541291905153,143272,1.7798206166612835,160438444.78822568,USD,21.087533156498676,0.6032,USD,16.156364336606966,0,消費者サービス,強い買い,24.18574683176822,0.5463396679685211,74.83828706210015,10.418799999999994,10.689500000000004,10.349449999999997
RITM,Rithm Capital Corp.,10.45,USD,-1.2287334593572852,7164624,0.8974052179818982,5863401216,USD,10.023980815347722,1.0425,USD,-37.5,9.45179584120983,金融,強い買い,17.024796046105088,-0.224759052123078,32.844830614153295,11.14699999999999,10.999999999999986,11.460549999999989
LPTH,"LightPath Technologies, Inc. Class A",12,USD,-11.764705882352938,3848111,1.2637847250799055,692503235,USD,,-0.5181,USD,-119.81332201951633,0,電子テクノロジー,強い買い,18.18830052734635,0.2814951613084986,53.005310319221316,10.742800000000003,11.1075,6.538800000000001
ACET,Adicet Bio Inc,7.14,USD,-4.032258064516139,202053,0.740976666457634,68390303,USD,,-20.2173,USD,25.887489369189705,0,ヘルスケアテクノロジー,強い買い,11.786773721320268,-0.31849444846067154,43.79922867199324,7.8734880000000045,7.535000000000004,10.738004000000016
SGA,"Saga Communications, Inc. Class A",11.9759,USD,2.0963341858482427,6692,0.7155000053459355,77123847,USD,241.93737373737372,0.0495,USD,-93.45930232558139,8.35010312377358,消費者サービス,強い買い,15.113216041682282,0.05804927702299878,66.93453835571552,11.39388799999994,11.392294999999965,12.203669500000055
FNWB,First Northwest Bancorp,10.16,USD,0.594059405940599,19464,0.5529231293676495,96135448,USD,,-0.4856,USD,33.958928328573364,1.37795275590551,金融,強い買い,21.466002353936815,0.020303296461767317,47.37690771651394,10.054700000000004,10.40925,8.757800000000007
IPST,"IP Strategy Holdings, Inc.",0.7721,USD,-10.884118190212366,282920,0.5675819088783477,7380751.7441,USD,,-27.7122,USD,-112.6689555227415,0,非耐久消費財,強い買い,45.08788998878814,-0.4101193467760178,29.156571099619924,2.0033800000000057,1.0192000000000152,8.556941799999997
NUTX,Nutex Health Inc,101.08,USD,-2.4418492423511253,156398,0.6843596014385738,714829292.9999999,USD,5.243608897742363,19.2768,USD,,0,ヘルスケアサービス,強い買い,26.04185067862345,-15.390237247113234,33.095733600717296,152.08569999999992,124.19250000000008,124.18837499999997
CDNL,"Cardinal Infrastructure Group, Inc.",34.3,USD,6.3565891472868135,862462,4.017262179245327,453403115,USD,,,,,,産業サービス,強い買い,20.849025114608665,1.0905482692362725,76.301543692303,,26.344499999999993,
EDSA,"Edesa Biotech, Inc.",0.8,USD,-11.396610920367703,5009706,28.34956785592821,6678529,USD,,-1.1465,USD,39.032172294602496,0,ヘルスケアテクノロジー,強い買い,37.583061502111754,-0.14042653225145574,19.419734900402034,1.3571000000000004,1.1342700000000014,1.9643895899999921
BFRI,"Biofrontera, Inc.",0.8857,USD,3.000348877776491,144349,0.08772629788872606,10316920.000000002,USD,,-1.8172,USD,19.777503090234866,0,ヘルスケアテクノロジー,強い買い,19.98561672458434,-0.0005411361105374102,53.65822447619202,0.8240679999999999,0.8807600000000002,0.8482372450000009
PAVM,"PAVmed, Inc.",9.47,USD,1.0672358591248818,64204,0.4795165101737803,14173711.000000002,USD,,-17.1657,USD,86.71694906991483,0,ヘルスケアテクノロジー,強い買い,42.58643429659213,0.27397591939389265,49.063054022610416,9.034600000000001,9.659249999999997,13.61569014999997
ATGE,Adtalem Global Education Inc.,96.64,USD,-0.11369509043927589,422107,1.0299867331319592,3334903569.5760202,USD,14.23395292662091,6.7894,USD,26.545142771937673,0,消費者サービス,強い買い,36.53378322102524,-3.7401019736056185,38.079187432064465,105.38019999999986,103.44250000000004,120.0720999999999
GHI,Greystone Housing Impact Investors LP,7.95,USD,-0.6249999999999978,44482,0.6997733075544745,187480499.3625,USD,42.01902748414376,0.1892,USD,-69.72315570491277,15.25,金融,強い買い,15.384967958822243,0.09498032024667324,56.47551663022159,7.429599999999991,7.7944999999999975,9.532844999999986
MIND,MIND Technology Inc,7.96,USD,-3.864734299516901,114648,0.7598994118216296,71943134,USD,20.74537399009643,0.3837,USD,-15.596128464584256,0,産業サービス,強い買い,17.51683042259932,-0.30109317232865784,39.53128746155438,8.970599999999997,8.63675,8.934174999999996
FENC,Fennec Pharmaceuticals Inc.,8.74,USD,-0.455580865603635,75420,0.683784550748473,298383372.4109817,USD,,-0.23859139999999998,USD,-125.12919210902228,0,ヘルスケアテクノロジー,強い買い,26.658212009219145,0.275354278093376,66.20854031911476,7.783599999999999,8.011499999999998,8.185674999999996
SBFG,SB Financial Group Inc,21.66,USD,1.262272089761569,9626,0.8588201705863477,136426089,USD,9.888153389637068,2.1905,USD,27.71105410447761,2.77008310249307,金融,強い買い,14.032699553502775,-0.17737505439631818,49.567312242476774,22.044499999999992,21.806500000000007,20.393975000000022
VNCE,Vince Holding Corp.,2.96,USD,11.278195488721797,117329,3.6145049691010027,39484702,USD,,-1.4809,USD,-509.65421853388665,0,非耐久消費財,強い買い,25.559955885232554,-0.10657405122428143,55.27000912756596,3.2259,2.670500000000001,2.362663499999999
CGEN,Compugen Ltd.,1.74,USD,-2.793296089385477,150356,0.6678713189698978,162751531,USD,,-0.2992,USD,-1658.3333333333335,0,ヘルスケアテクノロジー,強い買い,20.125712488527796,-0.03065852686687376,47.84960326198424,1.7430000000000012,1.795,1.6122750000000001
ADAG,"Adagene, Inc. Sponsored ADR",3.14,USD,-3.0864197530864224,64056,0.6859536700705915,147992191,USD,,-0.6447,USD,11.527377521613829,0,ヘルスケアテクノロジー,強い買い,33.26576356148561,0.2957026672692704,62.37369513992849,2.2320800000000003,2.8785000000000007,2.0071915000000002
GGRP,"Glimpse Group, Inc.",0.593,USD,-14.454702827466829,452107,,12498368,USD,,-0.1817,USD,50.13721185510428,0,テクノロジーサービス,強い買い,,,,,,
BETA,"BETA Technologies, Inc. Class A",18.63,USD,-4.80327031170159,884802,0.5223606823875938,4266831441.752682,USD,,,,,0,電子テクノロジー,強い買い,22.088335153654874,-2.0558361570812203,38.84866827773882,25.265200000000004,19.7295,
PRSO,"Peraso, Inc.",0.884,USD,1.6325592090135652,95281,0.39203512150163344,8282162.999999999,USD,,-0.9357,USD,94.29465134996707,0,電子テクノロジー,強い買い,14.251657324781874,-0.026599446615628075,45.40061702137337,0.9528100000000004,0.8973600000000003,1.0558919999999998
MVT,BlackRock MuniVest Fund II Inc,10.996,USD,0.191343963553538,18108,0.6584104775548494,228953865,USD,,-0.7253,USD,-233.32720588235293,5.74487471526196,その他,強い買い,29.252749694495648,0.05139000827619178,63.25019008350023,10.79550000000001,10.884549999999985,10.506857999999966
CPSH,CPS Technologies Corporation,4.53,USD,-4.228329809725162,140980,0.9139127627547813,81446127.00000001,USD,,-0.0406,USD,70.53701015965167,0,生産財製造,強い買い,26.47934698544303,0.01962212852869527,46.44434439799162,4.298599999999999,5.0875,3.4170250000000015
LIQT,"LiqTech International, Inc.",1.54,USD,1.986754966887419,4238,0.8596000162265223,14825679,USD,,-1.0034,USD,44.986018970338286,0,生産財製造,強い買い,15.402761829173498,-0.04691941482623907,42.17701652347628,1.720956,1.6950050000000005,1.9571760000000007
RRGB,"Red Robin Gourmet Burgers, Inc.",3.75,USD,0.8064516129032205,213230,1.3151061743319004,67366719.00000001,USD,,-3.229,USD,1.566882087550302,0,消費者サービス,強い買い,20.704744303588534,-0.12251304771913585,50.01416631649774,3.9370000000000003,3.681499999999995,5.153524999999999
ATRO,Astronics Corporation,78.25,USD,-0.7986815415821444,539000,1.1255206054841462,2778956818,USD,,-0.1357,USD,25.110375275938196,0,電子テクノロジー,強い買い,30.775214852495075,2.7946906812895804,61.69456899514937,66.86559999999999,76.82449999999999,46.19282499999999
CODA,"Coda Octopus Group, Inc.",13.455,USD,2.047781569965867,128877,0.49130232074081337,151645593,USD,36.802516411378555,0.3656,USD,13.188854489164079,0,電子テクノロジー,強い買い,36.94206149375154,0.8181372520457106,62.90277731194865,10.635299999999997,11.758749999999996,8.704167499999999
CTM,"Castellum, Inc.",0.9246,USD,-0.23737591713422312,758783,0.695480822383252,87478946.9540354,USD,,-0.0635,USD,64.28571428571429,0,素材産業,強い買い,22.563740757704302,-0.02674254731737491,50.441880589377696,0.9811980000000002,0.8991800000000001,1.0782505000000002
GTBP,GT Biopharma Inc,0.46,USD,0.8550756413067342,775256,0.8099333785980117,12260009.000000002,USD,,-3.3949,USD,54.61545659933426,0,ヘルスケアテクノロジー,強い買い,32.562522854905474,-0.065005761261272,35.829322771825616,0.6641060000000002,0.5530949999999988,1.3368474999999997
YCBD,"cbdMD, Inc.",0.9499,USD,4.270032930845217,579161,0.7008647646523516,9969733.319868276,USD,,-2.2277,USD,86.17966375085302,0,ヘルスケアテクノロジー,強い買い,21.549415246260065,-0.04597063197634299,53.378898668300295,1.0581360000000002,0.8386099999999995,0.9149209999999995
CUE,"Cue Biopharma, Inc.",0.2848,USD,-2.8649386084583965,454927,1.1900171102218993,25984504.999999996,USD,,-0.4557,USD,49.71863621317444,0,ヘルスケアテクノロジー,強い買い,11.15998529597108,-0.02029608078499512,38.366867162658,0.3447420000000004,0.328605000000002,0.6331975
AREC,American Resources Corporation,3.02,USD,-2.2653721682847845,4643638,1.365662331546727,306207772.99999994,USD,,-0.4644,USD,-8.606173994387278,0,エネルギー鉱物,強い買い,16.562915108222192,-0.0922589947260164,47.15025981412482,3.0839000000000003,3.24375,2.3384279999999995
POWW,Outdoor Holding Company,2.08,USD,4.0000000000000036,1028843,1.4591336273981166,243960527.00000003,USD,,,,,0,電子テクノロジー,強い買い,27.913423267223898,0.06728262230578874,70.86549993327861,1.8261999999999992,1.7919999999999998,1.583225
NATR,"Nature's Sunshine Products, Inc.",26.88,USD,0.0744601638123588,115501,0.9586720473571592,470280681.00000006,USD,33.12384473197782,0.8115,USD,-8.14940577249575,0,ヘルスケアテクノロジー,強い買い,38.04137993823829,0.967948282673678,66.90048316671539,23.695399999999992,25.77849999999998,17.891150000000003
IRD,"Opus Genetics, Inc.",3.39,USD,-5.042016806722682,788843,0.5358684161508784,233788681,USD,,-1.7188,USD,-58.137823166804694,0,ヘルスケアテクノロジー,強い買い,40.64166152693362,0.35930109964326506,60.535496773754936,2.4834,3.0050000000000012,1.6849315000000005
PKOH,Park-Ohio Holdings Corp.,27.01,USD,0.11119347664937411,16332,0.5775432839198823,389057641,USD,13.038860728940383,2.0715,USD,67.80072904009721,1.85116623472788,生産財製造,強い買い,27.89000098415529,1.3513043512161609,66.92541150307115,23.3629,25.136249999999997,20.35477500000001
XPEL,"XPEL, Inc.",51.2,USD,2.0733652312599804,370001,1.4748449922172242,1417144455,USD,30.389363722697055,1.6848,USD,-4.109277177006251,0,耐久消費財,強い買い,16.2212497773757,-0.1658078455794154,45.8497992935255,52.21270000000001,52.54399999999996,40.66364999999999
NAVN,"Navan, Inc. Class A",10.11,USD,-1.1730205278592472,1206704,0.7981198113620613,2513791428.9999995,USD,,-1.497,USD,-68.69506423258962,0,テクノロジーサービス,強い買い,36.89341197628992,-1.2561412252413362,34.061509225268395,13.9052,11.443249999999995,
SRTA,"Strata Critical Medical, Inc. Class A",4.5,USD,-2.173913043478253,1216020,1.891637698848142,388649357.00000006,USD,,-0.2497,USD,63.203654582964916,0,ヘルスケアサービス,強い買い,24.16225594400547,-0.18463991741695462,41.420741272258155,5.0787999999999975,4.7310000000000025,4.517650000000004
NPO,Enpro Inc.,274.57,USD,-1.052290172618839,345261,1.379571169819101,5784017047.069011,USD,144.63232195533078,1.8984,USD,-35.010783608914444,0.446862950016217,生産財製造,強い買い,35.53128752592464,11.406715203735075,68.11521839711364,237.4063999999997,257.3245,217.01345000000003
PLUR,Pluri Inc.,3.66,USD,-0.5434782608695656,2519,0.16032842185660184,36785721,USD,,-3.2559,USD,11.591723688497877,0,ヘルスケアテクノロジー,強い買い,29.946200922048856,0.11574642478773933,55.959924036986834,3.2878559999999992,3.530049999999998,4.264652500000002
ANGX,"Angel Studios, Inc. Class A",3.51,USD,2.0348837209302277,591895,0.7993593726724827,592934362.8226744,USD,,-1.1141,USD,-310.04784688995215,0,消費者サービス,強い買い,23.11939234391208,-0.2764111136038898,43.351440978840586,4.286600000000008,3.6284999999999927,10.216658500000014
VLN,Valens Semiconductor Ltd.,1.51,USD,1.342281879194632,617178,0.8963421488405083,154571931.3489933,USD,,-0.2891,USD,-14.996022275258555,0,電子テクノロジー,強い買い,13.20527746124928,-0.0767592057518307,42.15638079322489,1.6673999999999995,1.6115000000000017,1.9868999999999972
ICU,SeaStar Medical Holding Corporation,2.44,USD,1.2448132780082906,28398,0.27255843862924173,9272000.000000002,USD,,-14.8525,USD,87.66038795524258,0,ヘルスケアテクノロジー,強い買い,13.705805445357697,-0.060031778941560976,47.71208420997966,2.57616,2.4312499999999817,6.3153500000000165
HOTH,"Hoth Therapeutics, Inc.",1.05,USD,-1.8691588785046744,487236,0.6498726826488145,16290027,USD,,-1.0646,USD,24.043949771689498,0,ヘルスケアテクノロジー,強い買い,24.63125104528869,-0.0006000138853436976,57.52539957640338,1.0204539999999995,0.9403850000000006,1.2303019999999996
FSI,Flexible Solutions International Inc,5.36,USD,-0.3717472118959029,11985,0.3081365004846369,68031792.02973978,USD,36.86382393397524,0.1454,USD,-56.33633633633634,0,素材産業,強い買い,31.13693954697955,-0.2511845943533757,33.08405300653651,6.296100000000003,5.7355,6.800584499999997
CELZ,"Creative Medical Technology Holdings, Inc.",1.9,USD,-2.313624678663247,15176,0.5587258576383008,6639869,USD,,-2.9066,USD,23.442027076858242,0,ヘルスケアテクノロジー,強い買い,21.903390057828336,-0.06081095228586553,45.488016911433895,2.0432000000000015,1.96725,2.7024749999999984
MOB,Mobilicom Ltd.,4.95,USD,-11.29032258064516,332747,1.0252192340565034,49201361.550000004,USD,,-0.0031,USD,8.823529411764703,0,電子テクノロジー,強い買い,21.41643843483584,-0.5967318160566188,37.25561536783793,6.908699999999998,6.533249999999998,5.553800500000001
JBIO,"Jade Biosciences, Inc.",14.27,USD,-1.924398625429561,265078,1.2477329714560348,656480009,USD,,-11.3636,USD,89.16061436793778,0,ヘルスケアテクノロジー,強い買い,12.284097943709808,-0.15226282252831602,45.57523063029493,15.114800000000002,15.231,10.431350000000018
UXIN,Uxin Ltd Sponsored ADR,3.43,USD,-1.9999999999999956,34283,0.27500034091282816,707160497,USD,,-0.1943,USD,99.27077703717049,0,テクノロジーサービス,強い買い,14.38331825993862,0.008067816717714393,49.77294345867351,3.419799999999997,3.4039999999999986,3.5697124999999996
BRNS,Barinthus Biotherapeutics plc Sponsored ADR,0.625,USD,7.75862068965518,6434,0.05328858660182145,25517039,USD,,-1.8859,USD,-26.29922314492364,0,ヘルスケアテクノロジー,強い買い,27.82643355686279,-0.03159934624813787,40.93518742555801,0.7089620000000003,0.6895300000000008,1.0151184999999998
LONA,"LeonaBio, Inc.",5.56,USD,0.5424954792043284,40420,0.5476712454981749,51907674.00000001,USD,,-9.6577,USD,66.10381861575179,0,ヘルスケアテクノロジー,強い買い,23.180827960174796,-0.198695122913362,55.800233926388366,5.666400000000003,4.890499999999998,18.95045000000001
ESE,ESCO Technologies Inc.,276.56,USD,1.3931661533949302,257032,0.8622141922914229,7161731934.000001,USD,54.355345911949684,5.088,USD,19.341370736970497,0.117319255022731,電子テクノロジー,強い買い,52.768563857265995,15.495053869167492,72.55948541109561,223.90279999999998,250.06950000000012,205.28200000000032
